scene,index,unit,a,c,stop,tol_used,cap,iterations,converged,residual,residual_hat,lam_ref,g_ref,rel_phys_vs_unit0,n_chol,positive_spectrum_ratio
cube,0,SI,1.0,1.0,absolute,1e-10,30000,75,True,8.96267227101788e-11,3.3499624526400506e-09,0.02675454545454545,1.466666666666667,0.0,1,8.54970354689119
cube,0,Lp3,1000.0,1.0,absolute,1e-10,30000,51,True,7.022844466879861e-11,2.624916382455946e-06,2.675454545454545e-05,1.466666666666667,5.348489901489962e-07,1,8.54970354689119
cube,0,Lm3,0.001,1.0,absolute,1e-10,30000,97,True,8.199663170671556e-11,3.064773866034221e-12,26.75454545454545,1.466666666666667,8.112213151084645e-10,1,8.54970354689119
cube,0,Mp3,1.0,1000.0,absolute,1e-10,30000,40,True,8.936919165315228e-11,3.3403367590372924e-06,2.6754545454545455e-05,1466.6666666666667,5.607054629283027e-07,1,8.54970354689119
cube,0,Mm3,1.0,0.001,absolute,1e-10,30000,294,True,9.194423000735696e-11,3.436583520492445e-12,26.754545454545454,0.001466666666666667,8.110866397365754e-10,1,8.54970354689119
cube,0,SI,1.0,1.0,physical,1e-10,30000,67,True,8.19224688086706e-11,3.0620018922710727e-09,0.02675454545454545,1.466666666666667,0.0,1,8.54970354689119
cube,0,Lp3,1000.0,1.0,physical,1e-13,30000,67,True,8.192245167827628e-14,3.0620012519912983e-09,2.675454545454545e-05,1.466666666666667,1.257473127872728e-15,1,8.54970354689119
cube,0,Lm3,0.001,1.0,physical,1e-07,30000,67,True,8.192247946681164e-08,3.06200229063856e-09,26.75454545454545,1.466666666666667,1.6347150662345464e-15,1,8.54970354689119
cube,0,Mp3,1.0,1000.0,physical,1e-13,30000,67,True,8.192249233585774e-14,3.0620027716426613e-09,2.6754545454545455e-05,1466.6666666666667,3.8981666964054565e-15,1,8.54970354689119
cube,0,Mm3,1.0,0.001,physical,1e-07,30000,67,True,8.192247946681164e-08,3.0620022906385595e-09,26.754545454545454,0.001466666666666667,7.544838767236368e-16,1,8.54970354689119
