index,scene,n_c,oracle_fixed_iterations,oracle_fixed_rho_changes,oracle_fixed_ratio_to_oracle,oracle_fixed_status,structure_fixed_iterations,structure_fixed_rho_changes,structure_fixed_ratio_to_oracle,structure_fixed_status,he_mean_iterations,he_mean_rho_changes,he_mean_ratio_to_oracle,he_mean_status,he_structure_iterations,he_structure_rho_changes,he_structure_ratio_to_oracle,he_structure_status,wohlberg_mean_iterations,wohlberg_mean_rho_changes,wohlberg_mean_ratio_to_oracle,wohlberg_mean_status,wohlberg_structure_iterations,wohlberg_structure_rho_changes,wohlberg_structure_ratio_to_oracle,wohlberg_structure_status
0,cube,4,70,0,1.0,converged,75,0,1.0714285714285714,converged,69,0,0.9857142857142858,converged,75,0,1.0714285714285714,converged,143,2,2.0428571428571427,converged,118,2,1.6857142857142857,converged
1,eight_box_tower,32,2,0,1.0,converged,48,0,24.0,converged,13,12,6.5,converged,9,8,4.5,converged,13,12,6.5,converged,9,8,4.5,converged
2,three_body_column_normal,3,5,0,1.0,converged,42,0,8.4,converged,21,20,4.2,converged,10,9,2.0,converged,21,20,4.2,converged,10,9,2.0,converged
3,three_body_column_tangential_drive,3,198,0,1.0,converged,260,0,1.3131313131313131,converged,908,79,4.585858585858586,converged,818,62,4.1313131313131315,converged,238,11,1.202020202020202,converged,513,1,2.590909090909091,converged
4,three_body_column_separating,3,35,0,1.0,converged,36,0,1.0285714285714285,converged,1878,3,53.65714285714286,converged,376,6,10.742857142857142,converged,47,13,1.3428571428571427,converged,36,2,1.0285714285714285,converged
5,eight_box_tower_mass_imbalance,32,2,0,1.0,converged,25811,0,12905.5,converged,206,25,103.0,converged,103,26,51.5,converged,41,25,20.5,converged,18,16,9.0,converged
6,lattice,64,3,0,1.0,converged,68,0,22.666666666666668,converged,17,14,5.666666666666667,converged,9,8,3.0,converged,30000,37,10000.0,censored_30000,9,8,3.0,converged
7,random_contact_graph_256,256,281,0,1.0,converged,354,0,1.2597864768683273,converged,284,0,1.01067615658363,converged,354,0,1.2597864768683273,converged,284,0,1.01067615658363,converged,354,0,1.2597864768683273,converged
8,granular_press_step,441,1672,0,1.0,converged,20000,0,11.961722488038278,censored_20000,20000,5,11.961722488038278,censored_20000,20000,2,11.961722488038278,censored_20000,20000,3,11.961722488038278,censored_20000,20000,1,11.961722488038278,censored_20000
9,sphere_packing_50,176,1180,0,1.0,converged,30000,0,25.423728813559322,censored_30000,30000,6,25.423728813559322,censored_30000,30000,4,25.423728813559322,censored_30000,30000,3,25.423728813559322,censored_30000,1378,2,1.1677966101694914,converged
10,sphere_packing_200,710,1398,0,1.0,converged,20000,0,14.30615164520744,censored_20000,20000,6,14.30615164520744,censored_20000,20000,4,14.30615164520744,censored_20000,20000,3,14.30615164520744,censored_20000,20000,3,14.30615164520744,censored_20000
11,sphere_packing_800,3022,1499,0,1.0,converged,2000,0,1.33422281521014,censored_2000,2000,6,1.33422281521014,censored_2000,2000,4,1.33422281521014,censored_2000,2000,3,1.33422281521014,censored_2000,2000,3,1.33422281521014,censored_2000
12,dense_random_contact_operator_256,256,1105,0,1.0,converged,3017,0,2.730316742081448,converged,20000,15,18.099547511312217,censored_20000,20000,6,18.099547511312217,censored_20000,20000,1,18.099547511312217,censored_20000,20000,2,18.099547511312217,censored_20000
13,heavy_top_column_tangential_drive,3,3282,0,1.0,converged,30000,0,9.140767824497258,censored_30000,690,237,0.21023765996343693,converged,1858,85,0.5661182205971969,converged,955,399,0.2909811090798294,converged,1373,353,0.4183424741011578,converged
14,stacked_mass_pairs_cone,8,4813,0,1.0,converged,30000,0,6.233118637024725,censored_30000,5103,45,1.0602534801579058,converged,5762,26,1.1971743195512154,converged,30000,8433,6.233118637024725,censored_30000,4494,98,0.9337211718263038,converged
15,quadruped_sticking_stance,4,2,0,1.0,converged,135,0,67.5,converged,13,12,6.5,converged,9,8,4.5,converged,13,12,6.5,converged,9,8,4.5,converged
16,quadruped_sliding_stance,4,807,0,1.0,converged,1020,0,1.2639405204460967,converged,683,3,0.8463444857496902,converged,695,4,0.8612143742255266,converged,1102,11,1.365551425030979,converged,1386,10,1.7174721189591078,converged
17,humanoid,2,3,0,1.0,converged,80,0,26.666666666666668,converged,12,11,4.0,converged,11,10,3.6666666666666665,converged,12,11,4.0,converged,11,10,3.6666666666666665,converged
18,quadruped_unloading_probe,4,92,0,1.0,converged,156,0,1.6956521739130435,converged,330,83,3.5869565217391304,converged,302,77,3.282608695652174,converged,195,29,2.119565217391304,converged,253,40,2.75,converged
19,batched_quadruped_sticking,4,278,0,1.0,converged,293,0,1.0539568345323742,converged,195,14,0.7014388489208633,converged,249,18,0.89568345323741,converged,1254,14,4.510791366906475,converged,1146,11,4.122302158273381,converged
20,batched_quadruped_sliding,4,311,0,1.0,converged,501,0,1.6109324758842443,converged,464,7,1.4919614147909968,converged,443,1,1.4244372990353698,converged,1382,8,4.443729903536977,converged,773,6,2.485530546623794,converged
