group,N,n,nnz,bandwidth,rho,amg_rs_iterations,amg_rs_relative_residual,amg_sa_iterations,amg_sa_relative_residual,pcg_jacobi_iterations,pcg_jacobi_relative_residual,direct_iterations,direct_relative_residual,tridiag_iterations,tridiag_relative_residual
chains,3,,7,1,0.0,2,3.780105160537516e-16,2,3.780105160537516e-16,3,2.1921661374963792e-16,1,0.0,1,0.0
chains,8,,22,1,0.0,2,1.621630764995867e-14,2,1.621630764995867e-14,8,4.747227760040571e-15,1,1.0138639371443864e-15,1,1.0138639371443864e-15
chains,16,,46,1,0.0,7,4.4617991389042414e-13,8,3.772119878874699e-12,16,1.999676052610297e-15,1,1.893272329916466e-16,1,1.893272329916466e-16
chains,32,,94,1,0.0,8,9.560035700319617e-13,9,4.626848468926138e-12,32,2.138990113996043e-14,1,4.289345301815381e-15,1,4.289345301815381e-15
chains,64,,190,1,0.0,8,6.461935673665994e-12,9,9.528846982806078e-12,64,4.5374914725077575e-14,1,5.739755120407721e-15,1,5.739755120407721e-15
chains,128,,382,1,0.0,8,9.93211254896887e-12,9,6.501904626012208e-11,128,1.3518071518348098e-13,1,8.625770162473607e-15,1,8.625770162473607e-15
chains,256,,766,1,0.0,8,2.7529297483786522e-11,9,2.2709658720126262e-11,256,1.5604923662815057e-12,1,1.0691479565717456e-13,1,1.0691479565717456e-13
chains,512,,1534,1,0.0,8,7.107126535706318e-11,10,2.0154542689714618e-11,512,1.8966433970891963e-11,1,6.771841184788329e-13,1,6.771841184788329e-13
chains,1024,,3070,1,0.0,9,2.1820159798264067e-12,10,1.485957913284546e-11,1024,9.18096787295665e-12,1,2.7909879464113964e-13,1,2.7909879464113964e-13
chains,2048,,6142,1,0.0,9,1.1317408983145145e-11,10,2.930771730909882e-11,2048,1.2186192824322745e-10,1,2.721384367737437e-12,1,2.3343647069544286e-12
chains,4096,,12286,1,0.0,9,2.0405935742612465e-11,11,7.433665480062047e-12,4096,2.160777228845019e-10,1,4.3932826045232945e-12,1,3.78722870557939e-12
rgg,,1000,21134,987,0.0,10,4.884845252035321e-11,10,4.905196151826293e-11,64,6.196791376898512e-11,1,2.0513031783011157e-15,,
rgg,,2000,82216,1988,0.0,9,1.8878409541002454e-11,10,4.5856438949534806e-11,60,4.894937660518478e-11,1,1.0656301295185133e-15,,
rgg,,4000,322352,3986,0.0,9,4.229567417183755e-12,10,4.018136307332997e-11,59,6.232264588179776e-11,1,3.4377504063115683e-15,,
rgg,,8000,1275748,7990,0.0,9,2.3429460842869807e-11,10,2.393660700326974e-11,57,7.945465654878882e-11,1,1.2493755595982262e-14,,
