scene,source,n_c,nnz,bandwidth,rho,spd_natural,lambda_min,lambda_max,cond,amg_rs_iterations,amg_rs_relative_residual,amg_rs_setup_s,amg_rs_solve_s,amg_sa_iterations,amg_sa_relative_residual,amg_sa_setup_s,amg_sa_solve_s,pcg_jacobi_iterations,pcg_jacobi_relative_residual,pcg_jacobi_setup_s,pcg_jacobi_solve_s,direct_iterations,direct_relative_residual,direct_setup_s,direct_solve_s
eight_box_tower_point,"eight-box tower, point-contact incidence",32,352,7,0.02,False,-2.2637864052800514e-15,15.459777835234844,inf,34,1.3939100504681899e-11,0.000558437081053853,0.003145223017781973,31,5.511167299209324e-12,0.001082208938896656,0.0030178710585460067,10,7.4745802490809e-11,0.0,0.00011357094626873732,1,1.3114430069277472e-14,4.1305902414023876e-05,3.575999289751053e-05
chain_patch_1000_1,"box column, patch-contact incidence",3,7,1,0.0,True,0.00033314819343553985,3.000166726869087,9005.502013774489,2,1.6978245532044303e-13,1.5369034372270107e-05,0.00016951898578554392,2,1.6978245532044303e-13,5.9660058468580246e-05,0.00019260798580944538,3,6.465091218497611e-13,0.0,4.090997390449047e-05,1,1.1621892156544108e-13,1.2440956197679043e-05,6.346032023429871e-06
chain_patch_8,"box column, patch-contact incidence",8,22,1,0.0,True,0.034053800632196256,3.864944458808711,113.49524537812056,2,8.712091730615716e-15,1.6042031347751617e-05,0.00018197600729763508,2,8.712091730615716e-15,4.848698154091835e-05,0.00018923298921436071,8,2.415574773960301e-15,0.0,8.581799920648336e-05,1,1.8993549464660908e-15,1.1360971257090569e-05,5.989917553961277e-06
chain_patch_asym8,"box column, patch-contact incidence",8,22,1,0.0,True,6.026192040380683e-05,2.0017662050289036,33217.76325107703,2,2.686039817484056e-12,3.6575947888195515e-05,0.0002180320443585515,2,2.686039817484056e-12,5.542405415326357e-05,0.0001953250030055642,8,6.887985319752034e-13,0.0,8.863897528499365e-05,1,8.703065953254241e-13,1.4077057130634785e-05,8.868984878063202e-06
chain_point_1000_1,point-mass column incidence,3,7,1,0.0,True,0.0002927682519590146,2.0010002499999997,6834.758333974427,2,1.2283023128878437e-13,1.4693010598421097e-05,0.00017314206343144178,2,1.2283023128878437e-13,5.310901906341314e-05,0.00019471999257802963,3,7.790245780374679e-13,0.0,4.147901199758053e-05,1,1.1334486962160388e-13,1.1782045476138592e-05,7.346039637923241e-06
chain_point_8,point-mass column incidence,8,22,1,0.0,True,0.034053800632196256,3.864944458808711,113.49524537812056,2,8.712091730615716e-15,1.586799044162035e-05,0.00017736107110977173,2,8.712091730615716e-15,5.288701504468918e-05,0.0002032270422205329,8,2.415574773960301e-15,0.0,8.650007657706738e-05,1,1.8993549464660908e-15,1.1551077477633953e-05,5.8389268815517426e-06
granular_press_step,granular DEM press step incidence,441,4743,263,0.35809862195676445,False,-1.0046567054704545e-13,212.19548059274837,inf,93,8.859897596057949e-11,0.002376982942223549,0.018597961985506117,128,7.399822361271672e-11,0.0029362650820985436,0.023071411065757275,97,6.076249474308063e-11,0.0,0.0012866179458796978,1,5.148442585809535e-14,0.0013703849399462342,0.00018575997091829777
sphere_packing_200,random sphere-packing incidence,710,8358,276,2.8647889756541156,False,-8.385124506204476e-13,1778.9490872796955,inf,108,6.781539483956792e-11,0.0030869590118527412,0.027432925067842007,141,7.544355978418177e-11,0.004276524065062404,0.0329818669706583,115,7.394944173452698e-11,0.0,0.0018011060310527682,1,4.5211115640062186e-14,0.0034511800622567534,0.0003697130596265197
sphere_packing_50,random sphere-packing incidence,176,1810,87,2.8647889756541156,False,-6.970464252012279e-13,1705.5315646734077,inf,80,5.479209081476355e-11,0.0014678820734843612,0.011244453955441713,103,3.83383442394327e-11,0.0024895999813452363,0.015303656924515963,69,3.160264002093516e-11,0.0,0.0007753010140731931,1,2.397510840594868e-14,0.00016634794883430004,2.986507024616003e-05
sphere_packing_800,random sphere-packing incidence,3022,40334,730,2.8647889756541156,False,,1894.6442151435476,,130,5.3348256003517246e-11,0.009540270082652569,0.09739302098751068,160,9.398701155148797e-11,0.009228964103385806,0.11874972004443407,152,9.292384404602824e-11,0.0,0.007260465994477272,1,1.983819478180217e-14,0.038454449037089944,0.000721772899851203
eight_box_tower_mass_imbalance_point,"asymmetric eight-box tower, point-contact incidence",32,352,7,0.01001,False,-9.458735144309843e-16,8.007064820115614,inf,30,2.329227715221798e-11,0.0005404700059443712,0.002869974006898701,32,4.394401455319545e-12,0.0012630840064957738,0.003130240016616881,11,9.733895465980085e-14,0.0,0.0001225449377670884,1,2.7312402425579663e-14,2.19360226765275e-05,9.326962754130363e-06
