index,scene,n_c,oracle_on_iterations,oracle_on_converged,oracle_on_rho_changes,structure_on_iterations,structure_on_converged,structure_on_rho_changes,lmin_on_iterations,lmin_on_converged,lmin_on_rho_changes,he_structure_on_iterations,he_structure_on_converged,he_structure_on_rho_changes,oracle_off_iterations,oracle_off_converged,oracle_off_rho_changes,structure_off_iterations,structure_off_converged,structure_off_rho_changes,lmin_off_iterations,lmin_off_converged,lmin_off_rho_changes,he_structure_off_iterations,he_structure_off_converged,he_structure_off_rho_changes,oracle_fixed_iterations,oracle_fixed_converged,oracle_fixed_rho_changes,structure_fixed_iterations,structure_fixed_converged,structure_fixed_rho_changes,lmin_fixed_iterations,lmin_fixed_converged,lmin_fixed_rho_changes,he_structure_fixed_iterations,he_structure_fixed_converged,he_structure_fixed_rho_changes
0,cube,4,70,True,0,75,True,0,87,True,0,75,True,0,30000,False,0,30000,False,0,30000,False,0,30000,False,3,30000,False,0,30000,False,0,30000,False,0,30000,False,1
1,eight_box_tower,32,2,True,0,48,True,0,5,True,0,9,True,8,2,True,0,48,True,0,5,True,0,9,True,8,2,True,0,48,True,0,5,True,0,9,True,8
2,three_body_column_normal,3,5,True,0,42,True,0,42,True,0,10,True,9,5,True,0,42,True,0,42,True,0,10,True,9,5,True,0,42,True,0,42,True,0,10,True,9
3,three_body_column_tangential_drive,3,198,True,0,260,True,0,260,True,0,818,True,62,30000,False,0,30000,False,0,30000,False,0,30000,False,12625,30000,False,0,30000,False,0,30000,False,0,30000,False,7209
4,three_body_column_separating,3,35,True,0,36,True,0,36,True,0,376,True,6,35,True,0,36,True,0,36,True,0,376,True,6,35,True,0,36,True,0,36,True,0,376,True,6
5,eight_box_tower_mass_imbalance,32,2,True,0,25811,True,0,16,True,0,103,True,26,2,True,0,26726,True,0,16,True,0,35,True,20,2,True,0,30000,False,0,30000,False,0,30000,False,8
6,lattice,64,3,True,0,68,True,0,12,True,0,9,True,8,3,True,0,68,True,0,12,True,0,9,True,8,3,True,0,68,True,0,12,True,0,9,True,8
7,random_contact_graph_256,256,281,True,0,354,True,0,1537,True,0,354,True,0,20000,False,0,20000,False,0,20000,False,0,20000,False,0,20000,False,0,20000,False,0,20000,False,0,20000,False,0
8,granular_press_step,441,1672,True,0,20000,False,0,20000,False,0,20000,False,2,20000,False,0,20000,False,0,20000,False,0,20000,False,2,20000,False,0,20000,False,0,20000,False,0,20000,False,5
9,sphere_packing_50,176,1180,True,0,30000,False,0,30000,False,0,30000,False,4,30000,False,0,30000,False,0,30000,False,0,30000,False,5,30000,False,0,30000,False,0,30000,False,0,30000,False,19628
10,sphere_packing_200,710,1398,True,0,20000,False,0,20000,False,0,20000,False,4,20000,False,0,20000,False,0,20000,False,0,20000,False,5,20000,False,0,20000,False,0,20000,False,0,20000,False,16
11,sphere_packing_800,3022,1499,True,0,2000,False,0,2000,False,0,2000,False,4,2000,False,0,2000,False,0,2000,False,0,2000,False,5,2000,False,0,2000,False,0,2000,False,0,2000,False,10
12,dense_random_contact_operator_256,256,1105,True,0,3017,True,0,20000,False,0,20000,False,6,2529,True,0,6864,True,0,1377,True,0,44,True,11,20000,False,0,20000,False,0,20000,False,0,20000,False,8
13,heavy_top_column_tangential_drive,3,3282,True,0,30000,False,0,30000,False,0,1858,True,85,30000,False,0,30000,False,0,30000,False,0,30000,False,18190,30000,False,0,30000,False,0,30000,False,0,30000,False,28008
14,stacked_mass_pairs_cone,8,4813,True,0,30000,False,0,30000,False,0,5762,True,26,30000,False,0,30000,False,0,30000,False,0,30000,False,1883,30000,False,0,30000,False,0,30000,False,0,30000,False,497
15,quadruped_sticking_stance,4,2,True,0,135,True,0,11,True,0,9,True,8,2,True,0,135,True,0,11,True,0,9,True,8,2,True,0,30000,False,0,30000,False,0,30000,False,53
16,quadruped_sliding_stance,4,807,True,0,1020,True,0,20747,True,0,695,True,4,30000,False,0,30000,False,0,30000,False,0,30000,False,13,30000,False,0,30000,False,0,30000,False,0,30000,False,7443
17,humanoid,2,3,True,0,80,True,0,32,True,0,11,True,10,3,True,0,75,True,0,30,True,0,10,True,9,3,True,0,30000,False,0,30000,False,0,30000,False,57
18,quadruped_unloading_probe,4,92,True,0,156,True,0,303,True,0,302,True,77,30000,False,0,30000,False,0,30000,False,0,30000,False,51,30000,False,0,30000,False,0,30000,False,0,30000,False,59
19,batched_quadruped_sticking,4,278,True,0,293,True,0,2141,True,0,249,True,18,30000,False,0,30000,False,0,30000,False,0,30000,False,11,30000,False,0,30000,False,0,30000,False,0,30000,False,11
20,batched_quadruped_sliding,4,311,True,0,501,True,0,12292,True,0,443,True,1,30000,False,0,30000,False,0,30000,False,0,30000,False,9923,30000,False,0,30000,False,0,30000,False,0,30000,False,1
