index,scene,n_c,n,numerical_rank,nullity_struct,norm_lam_ref,inter_solver_max_rel,nsgs_status,nsgs_it,nsgs_wall,nsgs_sres,nsgs_nat,nsgs_rel,aclmfp_status,aclmfp_it,aclmfp_wall,aclmfp_sres,aclmfp_nat,aclmfp_rel,prox_status,prox_it,prox_wall,prox_sres,prox_nat,prox_rel,admm_status,admm_it,admm_wall,admm_sres,admm_nat,admm_rel,dsfp_status,dsfp_it,dsfp_wall,dsfp_sres,dsfp_nat,dsfp_rel,nsn_ac_status,nsn_ac_it,nsn_ac_wall,nsn_ac_sres,nsn_ac_nat,nsn_ac_rel,reference_residual
0,cube,4,12,6,0,0.36787501570022785,0.12091430831453465,converged,28,5.999405402690172e-05,3.119242635705885e-11,7.0808100722353205e-12,0.055901697030445785,converged,66,0.0003414920065551996,8.782108298811293e-11,1.132571814110861e-11,0.1218080142127258,converged,21,0.004647962050512433,1.1950483330592332e-15,2.498001805406602e-16,5.052887144054951e-08,converged,100,0.005240391008555889,1.9996285799159594e-12,3.8538616742300746e-13,5.052298146190821e-08,converged,97,3.3310032449662685e-05,8.885339432619468e-11,1.6679768677363427e-11,5.065120361543964e-08,converged,1,0.00042492698412388563,2.5020185049148284e-16,1.592316813379298e-17,0.44721357641371284,6.8375802242393036e-09
1,eight_box_tower,32,96,48,0,0.2802296514549363,0.21676635190604746,converged,36138,0.24367164296563715,9.994128621332533e-11,5.984934769998063e-13,0.2220458213822764,converged,47408,1.160339142079465,9.998550961501453e-11,5.463268726302317e-13,0.22143644075467708,converged,26,0.00949044490698725,1.1875642861231204e-11,4.4853010194856324e-14,1.0002244525592092e-06,converged,43,0.003047036938369274,8.838426188253958e-11,3.071015663991261e-13,3.2128303409875516e-10,maxiter,200000,0.6480657249921933,2.8223675597540545e+87,1.1185211623109074e+85,7.852524631594124e+85,converged,730,0.2241987109882757,1.9575761293829304e-12,2.0115853427427055e-14,1.1314192126874278,4.951733467706276e-13
2,three_body_column_normal,3,9,9,0,1732.0508075677694,2.525651717449021e-10,converged,23061,0.012996074976399541,9.98171082614928e-11,9.993073035730049e-11,9.917666168674496e-11,converged,29471,0.07035422697663307,9.998225769259863e-11,6.069490154914092e-08,1.8561545119900352e-10,converged,8910,0.9990491070784628,1.7241462601422315e-12,1.317857822868973e-09,2.941058436860781e-11,converged,15213,0.754296398954466,3.351371510559862e-11,2.376748398091877e-08,6.695662359257705e-11,maxiter,200000,0.021381826954893768,1.0134735630872631e+21,7.163376342783788e+20,4.477921096116572e+17,converged,3,0.0007353139808401465,1.6077746776921858e-13,2.2737367544323206e-13,1.1288251084674008e-12,3.516333890729584e-10
3,three_body_column_tangential_drive,3,9,9,0,1837.117383603197,3.56431531149357e-10,converged,22526,0.01600744598545134,8.510786221778163e-11,2.2521362552652135e-10,2.0500743074965215e-10,converged,17497,0.1169470549793914,9.998010980031702e-11,9.989616955863312e-08,4.195114329349707e-10,converged,4567,0.5242697289213538,6.669023244578655e-12,7.414200808852911e-09,6.309629156538261e-11,converged,145713,7.189019812038168,5.492617119058042e-11,6.311029210337438e-08,2.541257470210279e-10,maxiter,200000,0.025196695933118463,71.29839568380646,90.83869788694619,0.9198383749795885,converged,4,0.0008557719411328435,1.2006668260453162e-13,1.7053025658242404e-13,2.565752091126474e-11,9.684640644991305e-09
4,three_body_column_separating,3,9,9,0,707.1068731899281,7.273768234871637e-11,converged,11443,0.004771322011947632,9.987405774069219e-11,1.16358478408074e-10,5.353683564506642e-09,converged,10846,0.022589793079532683,9.998990048368815e-11,1.0817302609211765e-10,5.388817994180276e-09,converged,3044,0.3496790650533512,5.680060298514558e-11,4.234834705130197e-11,5.322042327461759e-09,converged,465,0.02341073506977409,9.554086873621587e-11,7.878497854107991e-11,5.394779990265617e-09,maxiter,200000,0.021402469952590764,4.734942079820802e+20,3.902918378087719e+20,5.976180499696314e+17,converged,2,0.0005712509155273438,9.748565909291575e-14,1.1368683772161603e-13,5.237091861587911e-09,6.49890807835618e-09
5,eight_box_tower_mass_imbalance,32,96,48,0,153.43539247303795,0.45042519667232417,maxiter,200000,2.310767609043978,8.063739006093556e-05,1.667788211534571e-05,0.5048144962648706,maxiter,100000,8.117967570084147,6.615121209917446e-05,1.158814809798514e-05,0.49460321722948886,converged,443,0.12734107905998826,8.064423321569529e-13,1.2079226507921703e-13,0.011978239001993046,maxiter,200000,11.292940790066496,2.2330429975553495e-05,2.4792081418922862e-06,0.07748569216570675,maxiter,200000,0.6587991389678791,4.320894992837248e+153,3.323632050706072e+153,5.589988933738413e+151,maxiter,10001,3.0680871199583635,0.0197350707259657,0.006133655368450119,0.8306568770884082,4.170885858911788e-12
6,lattice,64,192,48,0,0.08774330141054688,0.3802262654862735,converged,201,0.002807296928949654,9.757475200170547e-11,3.969533035608208e-13,0.41110277415646596,converged,257,0.021707360050641,9.873123624677497e-11,3.368407983095345e-13,0.4071982673421841,converged,17,0.01781927898991853,7.483188261232856e-15,3.3044114541960674e-16,2.943114735604097e-07,converged,26,0.0033468230394646525,5.146269862953246e-12,3.123890035539034e-14,6.895668638103135e-08,maxiter,200000,2.52773008600343,580.2490844456149,7.783789090910379,251.19754912136816,converged,2814,2.551552028977312,1.2661328963676382e-11,8.619702174250676e-13,1.1900060911699213,3.6033970945981153e-10
7,random_contact_graph_256,256,768,381,0,1.0326277011807317,2.172864996796198e-09,converged,122,0.0073301499942317605,2.8623407509823102e-11,2.3527790826705086e-11,4.2494208707862186e-07,converged,158,0.09926020808052272,9.331661175400766e-11,3.662745801102929e-11,4.2662874220815426e-07,converged,7,0.1018014521105215,3.536199358172958e-16,2.2204448013349667e-16,4.2511102309485015e-07,converged,231,0.0654109789757058,2.0252740946018022e-11,3.128269572636594e-11,4.250891627579977e-07,maxiter,200000,7.693769632023759,nan,,nan,converged,7,0.058006328996270895,4.354035828499274e-11,1.0319311030682066e-10,4.251571560120755e-07,8.702196518939331e-09
8,granular_press_step,441,1323,1323,0,0.48919863240866085,9.14666652530768e-09,converged,482,0.03620884206611663,9.909073602264216e-11,1.6326611937400592e-11,4.699232181185315e-06,converged,676,0.5509357609553263,9.967782435857351e-11,2.162775167291464e-11,4.690862821289439e-06,converged,4,0.060653151012957096,9.179025473713608e-14,6.537218683044799e-14,4.6967469529011045e-06,converged,1339,0.3766794620314613,1.3283750509429596e-11,2.0053296092843247e-11,4.696756436870915e-06,maxiter,200000,9.209523094934411,nan,,nan,converged,13,0.05864236899651587,7.220457065533993e-15,3.229447959052223e-14,4.696747562318023e-06,9.920532357404754e-09
9,sphere_packing_50,176,528,528,0,0.003765171324233845,1.2126324440220262e-06,converged,557,0.019725787919014692,2.747599853781146e-11,6.188151471514384e-14,0.0008072604958525373,maxiter,100000,16.279439527075738,2.4345869665409366e-08,5.779904723831117e-11,0.0008068265272031243,converged,59,0.13044071395415813,3.816544388278485e-12,2.90270799814551e-13,0.0008072591948350742,converged,3478,0.44988385611213744,2.8100920432157564e-11,9.556434207163672e-12,0.000807257170908297,maxiter,200000,3.765877009020187,2.0235099098149914e+105,1.251296802190312e+103,8.202543881499445e+105,converged,14,0.0359126910334453,1.9849252670559288e-11,5.188776755867124e-12,0.0008072616160241635,9.939037740184554e-09
10,sphere_packing_200,710,2130,2130,0,0.01292297798614684,4.520824256000491e-09,converged,696,0.10175981209613383,4.811111969204762e-11,4.975932318095067e-13,0.00019954167972271018,wall_timeout_30s_or_error,,,,,,wall_timeout_30s_or_error,,,,,,converged,4785,2.3767400350188836,1.60330602442559e-12,8.371752455767906e-13,0.00019954146102403082,maxiter,200000,17.890218635089695,5.245513264101573e+38,4.4779063243954404e+36,1.0782272559655289e+39,wall_timeout_30s_or_error,,,,,,9.945325689505666e-09
11,sphere_packing_800,3022,9066,,0,0.036217375714425376,7.51782675007565e-09,converged,724,0.4451783839613199,9.043927436463365e-11,5.928003313920849e-13,7.287681841323216e-05,wall_timeout_30s_or_error,,,,,,wall_timeout_30s_or_error,,,,,,converged,4585,15.50944008899387,1.2824139982104126e-11,1.1222449456817395e-11,7.287686058428606e-05,wall_timeout_30s_or_error,,,,,,wall_timeout_30s_or_error,,,,,,9.971261804089804e-09
12,dense_random_contact_operator_256,256,768,192,0,0.6016681693481405,3.1336698420814235e-09,converged,576,0.16085403400938958,6.625714818499836e-11,8.813059657053479e-12,4.147401392938053e-06,wall_timeout_30s_or_error,,,,,,converged,5,0.4839745690114796,3.817844118177729e-12,3.801411789516873e-11,4.145632618614286e-06,wall_timeout_30s_or_error,,,,,,wall_timeout_30s_or_error,,,,,,converged,14,0.42562936688773334,2.2991096433460573e-11,1.399806468654896e-10,4.1475576837439065e-06,9.989204939782337e-09
13,heavy_top_column_tangential_drive,3,9,9,0,1936.4916730379196,3.9184444550574155e-10,converged,22602,0.01413457898888737,9.994367934157713e-11,1.2653345038415864e-10,1.2414718416927495e-10,converged,24805,0.1517501729540527,9.996339866640535e-11,7.550249847554369e-08,2.4643335062109325e-10,converged,5640,0.6451797889312729,1.2710574864626038e-13,2.15550244320184e-10,3.220425028604749e-11,converged,101083,5.071770793059841,9.996463503544729e-11,8.752579105930636e-08,2.693286516095176e-10,converged,93380,0.012109818984754384,9.998800195904204e-11,8.95066705197678e-08,2.773120988505397e-10,converged,3,0.0007510869763791561,1.449228509952941e-13,2.2737367544323206e-13,3.4777112817414e-11,9.885411600407679e-09
14,stacked_mass_pairs_cone,8,24,24,0,3.161802105643797,0.0003667099089043797,converged,73028,0.11604844406247139,5.562973530415113e-11,1.0456602250741298e-10,4.4290704635568435e-07,converged,85977,0.6887234359746799,9.999657394575328e-11,1.0737435940377793e-07,1.5637559883999746e-06,converged,22,0.003532564966008067,1.7102800135692987e-11,2.1925473769890402e-08,5.364301665464064e-07,maxiter,200000,10.618380822939798,2.4861500428671877e-08,3.3517680519401516e-05,0.0003651861153167259,maxiter,200000,0.065758834942244,2.527415886450298e-05,5.135840245762413e-05,0.0006414031528338249,converged,26,0.004063030006363988,1.8129866073473578e-16,2.4424906541753444e-15,7.221080274460499e-07,8.800827733246308e-09
15,quadruped_sticking_stance,4,12,12,0,0.25727067371404655,1.5691047168523538e-09,converged,132,0.00011916493531316519,4.870892392386258e-11,4.181724411189691e-13,2.906827477551707e-09,converged,1068,0.003536976990289986,9.958796910585302e-11,7.861489237370733e-13,3.155308899275576e-09,converged,22,0.005063894088380039,1.128841599681708e-12,8.548717289613705e-15,2.9055666597174652e-09,converged,125,0.006544250994920731,3.584456862777631e-12,2.5729418595688003e-14,2.900985165001213e-09,maxiter,200000,0.04173342196736485,1.1588754919581905,0.023916642362727634,0.6543405323719134,converged,1,0.00043488095980137587,6.656433011025268e-16,6.938893903907228e-18,2.9078397529413907e-09,2.0595525285216354e-11
16,quadruped_sliding_stance,4,12,12,0,0.2868270018788993,2.584846680953158e-09,converged,92,0.00010368891526013613,1.267880645262715e-11,4.226619054747971e-13,8.521517080196364e-06,converged,687,0.005326475948095322,9.815923188784383e-11,2.7513685774138708e-12,8.519220228181194e-06,converged,14,0.003879935946315527,3.7361268911529076e-15,2.892651396191326e-16,8.521804575764235e-06,converged,1055,0.050598373054526746,5.972642016019565e-11,2.4040353041598905e-12,8.520896582991448e-06,maxiter,200000,0.04174666409380734,0.3381724699740729,0.025340916240046106,0.7600255177202442,converged,4,0.0008544829906895757,1.2309558046327175e-11,1.8940638987774427e-12,8.521901904997816e-06,8.71068991264469e-09
17,humanoid,2,6,6,0,0.9945880124734432,1.0488214109231508e-10,converged,6,1.8990016542375088e-05,9.815478326170258e-14,8.205242041370298e-15,9.95843350859569e-10,converged,141,0.00011255405843257904,9.949239808554994e-11,7.692957382232635e-12,8.919651816052734e-10,converged,92,0.00973766203969717,6.0018824873233e-17,8.881784197001252e-16,9.959136973662146e-10,converged,113,0.005687527009285986,5.799374574798328e-12,4.1511238890734603e-13,9.898142907629432e-10,converged,405,4.197494126856327e-05,9.971855856560903e-11,8.04756261629791e-12,8.926139230281453e-10,converged,1,0.00042165303602814674,2.40075299492932e-16,2.7755575615628914e-17,9.959044269096594e-10,6.56226184503339e-11
18,quadruped_unloading_probe,4,12,12,0,0.15849990177403156,8.543394801238907e-11,converged,6,2.7097994461655617e-05,2.518981392414939e-15,3.122502256758253e-17,1.872049996968633e-06,converged,31,0.00024902308359742165,7.646929484775905e-11,5.260653024308226e-13,1.8720877843400193e-06,converged,15,0.0022944719530642033,8.235519966595531e-16,1.3877787807814457e-17,1.8720499975570146e-06,converged,172,0.008586935000494123,2.0087777010580013e-12,5.851569229164966e-14,1.8720550842007396e-06,maxiter,200000,0.0373157300055027,0.9999999999999988,0.00537267313573247,1.0,converged,4,0.0008297519525513053,2.541362653206726e-13,2.1024848528838902e-15,1.8720497744791297e-06,8.380233867955056e-09
