index,scene,n_c,classification,C1,degree_max,lambda_min_positive,lambda_max,rho_star,iterations,rho_A,rho_B,rho_star_over_A,rho_star_over_B,ratio_A,ratio_B,best_ratio,within_2_best,selected_rule,selected_ratio,within_2_selected,residual,grid_index,tied_minima,tied_grid_indices,boundary_minimum,converged_grid_points,censored_grid_points,numerical_failures,eta,G_sha256,status,command,any_tied_minimum_within_2_best,all_tied_minima_within_2_best
0,cube,4,C1=0;degree=4,0,4,0.11169631197754926,0.9549703546891176,0.19862725176695975,58,0.11169631197754926,0.3265986323710902,1.7782794100389228,0.6081692698004751,1.7782794100389228,1.6442790677800518,1.6442790677800518,yes,B,1.6442790677800518,yes,6.8375802242393036e-09,13,1,13,False,19,6,0,zero,ab189db38a2b71375534c4a5688313f5033fc612ca64f7010e1d37c0a8f59a45,grid_minimum,bash run_env.sh sweep.py RUN 0,True,True
1,eight_box_tower,32,C1=0;degree=8,0,8,0.0023331472395808376,46.37933350570455,2.3331472395808377e-06,2,0.0023331472395808376,0.32895260136140225,0.001,7.09265477739006e-06,1000.0,140990.930954062,1000.0,no,B,140990.930954062,no,4.951733467706276e-13,0,9,0;1;2;3;4;5;6;7;8,True,25,0,0,zero,e22e79ed71dc158facc83bc1a8dad135c01d47100a2571cb228ce081655c3455,grid_minimum,bash run_env.sh sweep.py RUN 1,False,False
2,three_body_column_normal,3,C1=1;degree=2,1,2,0.0002927682519584372,2.0010002499999997,2.927682519584372e-07,4,0.0002927682519584372,0.0242039117780762,0.001,1.209590642383788e-05,999.9999999999999,82672.5972374638,999.9999999999999,no,A,999.9999999999999,no,3.516333890729584e-10,0,2,0;1,True,22,3,0,zero,5d8242005fb332636444543f37e8a244d70d496c366670159f76af3e5b926bec,grid_minimum,bash run_env.sh sweep.py RUN 2,False,False
3,three_body_column_tangential_drive,3,C1=1;degree=2,1,2,0.0002927682519584372,2.0010002499999997,0.0009258145027747133,162,0.0002927682519584372,0.0242039117780762,3.1622776601683795,0.03825061466358972,3.1622776601683795,26.143370735212983,3.1622776601683795,no,A,3.1622776601683795,no,9.684640644991305e-09,14,1,14,False,14,11,0,zero,5d8242005fb332636444543f37e8a244d70d496c366670159f76af3e5b926bec,grid_minimum,bash run_env.sh sweep.py RUN 3,False,False
4,three_body_column_separating,3,C1=1;degree=2,1,2,0.0002927682519584372,2.0010002499999997,0.001646356867799696,27,0.0002927682519584372,0.0242039117780762,5.623413251903491,0.0680202804775945,5.623413251903491,14.701497744182259,5.623413251903491,no,A,5.623413251903491,no,6.49890807835618e-09,15,1,15,False,20,5,0,zero,5d8242005fb332636444543f37e8a244d70d496c366670159f76af3e5b926bec,grid_minimum,bash run_env.sh sweep.py RUN 4,False,False
5,eight_box_tower_mass_imbalance,32,C1=0;degree=8,0,8,3.778713139723853e-06,24.021194460346837,3.778713139723853e-09,2,3.778713139723853e-06,0.00952728729173076,0.001,3.9662004766074385e-07,1000.0,2521304.7245039116,1000.0,no,B,2521304.7245039116,no,4.170885858911788e-12,0,7,0;1;2;3;4;5;6,True,24,1,0,zero,55255f418069e18c7b04716995ea5b43e1d276c9a8d3a00c3bca8e9d76ce4d7a,grid_minimum,bash run_env.sh sweep.py RUN 5,False,False
6,lattice,64,C1=0;degree=16,0,16,0.40211196847168934,65.1599471372697,0.00040211196847168937,2,0.40211196847168934,5.118749320769551,0.001,7.855668314134907e-05,999.9999999999999,12729.66169155429,999.9999999999999,no,B,12729.66169155429,no,3.6033970945981153e-10,0,3,0;1;2,True,25,0,0,zero,d0675e876eed9c61d5f8a5f96217328c0de5cae45f4cd5797a9add3199941337,grid_minimum,bash run_env.sh sweep.py RUN 6,False,False
7,random_contact_graph_256,256,C1=0;degree=13,0,13,0.21634056493239456,25.761485549826027,3.847139721754659,202,0.21634056493239456,2.3607740970594966,17.78279410038923,1.6296094262244452,17.78279410038923,1.6296094262244452,1.6296094262244452,yes,B,1.6296094262244452,yes,8.702196518939331e-09,17,1,17,False,13,12,0,zero,935007f32b883db89dadca822ae5807da3bd50c15c8a73ea4421a3d3e6beefb6,grid_minimum,bash run_env.sh sweep.py RUN 7,True,True
8,granular_press_step,441,C1=0;degree=14,0,14,0.6172496688862671,526.1260007131912,61.72496688862671,1104,0.6172496688862671,18.02085180374871,100.0,3.42519696409615,100.0,3.42519696409615,3.42519696409615,no,B,3.42519696409615,no,9.920532357404754e-09,20,1,20,False,3,22,0,gcc,4ecba52e316260b950fddec2917872f78e2aa458853a9cbce5e2b0100ceb3882,grid_minimum,bash run_env.sh sweep.py RUN 8,False,False
9,sphere_packing_50,176,C1=0;degree=10,0,10,4.93522895448179,4306.254112147977,493.522895448179,577,4.93522895448179,145.78185751193107,100.0,3.3853519489404786,100.0,3.3853519489404786,3.3853519489404786,no,B,3.3853519489404786,no,9.939037740184554e-09,20,1,20,False,4,21,0,gcc,3d6f1400e0e1568914b1252d58a2997a2bdff1d2b73f1e8b2a82d3103209166d,grid_minimum,bash run_env.sh sweep.py RUN 9,False,False
10,sphere_packing_200,710,C1=0;degree=10,0,10,4.870694008658371,4386.170693968778,487.0694008658371,833,4.870694008658371,146.16324886942905,100.0,3.332365725538485,100.0,3.332365725538485,3.332365725538485,no,B,3.332365725538485,no,9.945325689505666e-09,20,1,20,False,4,16,5,gcc,886531f1e3e679e20e20c19064d9eaa1865188a4dfb8f220470a62616ebc1111,grid_minimum,bash run_env.sh sweep.py RUN 10,False,False
