run,it,accepted,B,gate,res_acc_max,res_acc_p95,gate_pass,res_lastcand_max,cost_sum,ms_total
series_std_f32_p0,0,106,128,cost,0.21320236488519187,5.663395274038485e-05,121,0.0967284637381236,277333.88849169004,2209.107029950246
series_std_f32_p0,1,116,128,cost,0.034325536644984236,0.00011818480045456291,121,0.08172793488146933,217819.5697962979,2171.331683988683
series_std_f32_p0,2,120,128,cost,0.03382529325718576,2.0116139493239563e-06,124,0.07585264328869924,213905.64136302687,2220.22839600686
series_std_f32_p0,3,111,128,cost,0.036443256325755055,2.7266830282378993e-06,124,0.08452974459423143,212996.91002647544,2192.3919279361144
series_std_f32_p1,0,106,128,cost,0.027268321784347654,0.00013502087417544288,121,0.05421857080623696,277035.76640306786,2205.123482970521
series_std_f32_p1,1,115,128,cost,0.03192823836923694,0.0007337275762926555,120,0.03421995485746359,217646.91559927195,2187.519946019165
series_std_f32_p1,2,118,128,cost,0.025695460456914086,0.0003568305554928477,121,0.0698446133318886,213994.36352781806,2180.0474339397624
series_std_f32_p1,3,113,128,cost,0.027596286914123774,0.0006265160159813806,121,0.04083131422110414,213696.6021688468,2197.6262379903346
series_std_int64_gate,0,104,128,residual,1.3494282889436882e-06,1.820757129039616e-07,128,0.049638493037704214,276820.3566848477,2211.27205202356
series_std_int64_gate,1,118,128,residual,2.157526931806375e-06,3.214624992451526e-07,128,0.03978309933580941,209323.63800757303,2195.956196053885
series_std_int64_gate,2,123,128,residual,2.4149547609847444e-06,8.556865519079856e-07,128,0.03570824573474155,205224.06459300406,2219.5303589105606
series_std_int64_gate,3,118,128,residual,2.3713824671145467e-06,1.3777620104711892e-06,128,0.04429583210161664,204942.67142713213,2208.1772930687293
series_std_int64_p0,0,106,128,cost,0.02784524756722012,0.00013957648790788844,121,0.049638493037704214,277855.4104790555,2225.6476279580966
series_std_int64_p0,1,115,128,cost,0.019828224636308067,0.00011930809757829138,121,0.03978309933580941,217789.40796813037,2228.4213710809126
series_std_int64_p0,2,121,128,cost,0.02692868566719927,0.00012869167400367644,121,0.03570824573474155,214055.76447686527,2258.382641011849
series_std_int64_p0,3,116,128,cost,0.020014471769410007,7.726730906832471e-06,121,0.03069903380770485,213249.97615533782,2227.2506380686536
series_std_int64_p1,0,106,128,cost,0.02784524756722012,0.00013957648790788844,121,0.049638493037704214,277855.4104790555,2249.4355690432712
series_std_int64_p1,1,115,128,cost,0.019828224636308067,0.00011930809757829138,121,0.03978309933580941,217789.40796813037,2199.638355989009
series_std_int64_p1,2,121,128,cost,0.02692868566719927,0.00012869167400367644,121,0.03570824573474155,214055.76447686527,2227.540601976216
series_std_int64_p1,3,116,128,cost,0.020014471769410007,7.726730906832471e-06,121,0.03069903380770485,213249.97615533782,2275.0650730449706
series_win7_int64_gate,0,105,128,residual,9.931127027809628e-06,1.7150894679719651e-06,128,0.01847784791109476,340188.80010393995,2587.2593520907685
series_win7_int64_gate,1,126,128,residual,9.931127027809628e-06,5.457520514593602e-06,128,0.011524407565246683,206020.09890610143,2533.8778959121555
series_win7_int64_gate,2,124,128,residual,9.931127027809628e-06,4.1814879989082705e-06,128,0.00015373698327545565,205435.95133902237,2562.865884974599
series_win7_int64_gate,3,120,128,residual,9.931127027809628e-06,7.150886093629923e-06,128,0.01252286160064961,205250.31196479348,2532.889547990635
series_win7_int64_p0,0,128,128,cost,0.018282325680855215,0.000924209789287152,105,0.018282325680855215,209555.9180967085,2560.618982068263
series_win7_int64_p0,1,128,128,cost,0.01618793842000779,0.000648709591390304,106,0.01618793842000779,204857.40704786504,2540.8989989664406
series_win7_int64_p0,2,126,128,cost,0.016129508963921027,0.0005465707565853112,107,0.016129508945984264,204846.19242442504,2517.758308094926
series_win7_int64_p0,3,111,128,cost,0.016114821798228762,0.0006799690437208171,107,0.016114821794434867,204845.81407449415,2528.091726009734
series_win7_int64_p1,0,128,128,cost,0.018282325680855215,0.000924209789287152,105,0.018282325680855215,209555.9180967085,2545.5280039459467
series_win7_int64_p1,1,128,128,cost,0.01618793842000779,0.000648709591390304,106,0.01618793842000779,204857.40704786504,2539.514558040537
series_win7_int64_p1,2,126,128,cost,0.016129508963921027,0.0005465707565853112,107,0.016129508945984264,204846.19242442504,2514.3814380280674
series_win7_int64_p1,3,111,128,cost,0.016114821798228762,0.0006799690437208171,107,0.016114821794434867,204845.81407449415,2559.249893995002
