run,it,state,cost_sum,cost_p50,res_max,res_p95,grad_norm,H_sha256,digest,n_slip,res_pass,ms_forward,ms_adjoint,ms_total,chunk,n_calls,n_iter,cg,grad_cg,theta_sha256
series_std_f32_p0,0,initial,477544.0525869588,2912.5316625949936,4.9489034537053556e-08,3.943191435873404e-08,9145.418274178635,a62a0e322726e167e6b86e28b1b563a4067fe10eb124d3b4cbcd53117ee02948,78b8ee20c606c8027f675a58cd1e94a5cdc721102962f33f2cdd24c4743e1439,-1,1,1557.868167059496,1284.3568640528247,2902.6112019782886,1024,7,300,4,60,020bd156497d059e9ae53f0708d8e5877767869e618ec33a0173cb91f7319ce3
series_std_f32_p0,0,prev_theta,477544.05363245565,2912.531720460679,4.339245839035666e-08,3.842108216994821e-08,9145.418356638465,4d38396ac0beaca2ecc594865edda7d08512dc489f1f84ad82b7b06f6b7444f5,63164239c068b716ee9be4e7f934be9d9ca6fb6bde4a723b6df3177a1ab84356,-1,1,1101.4451349619776,1048.8993799081072,2204.279922065325,1024,7,300,4,60,020bd156497d059e9ae53f0708d8e5877767869e618ec33a0173cb91f7319ce3
series_std_f32_p0,0,accepted,277333.88849169004,1662.5901596563658,0.21320236488519187,5.663395274038485e-05,13554.688742390572,94a07b92ec630cb914e385a0eeb9370c027e56c3a76168951a73e87c21b6a189,410c7613343c2966ae91c7f520e5d173155c67d198e30af8828e15e2cd923681,-1,0,1096.2238099891692,1066.1948550259694,2209.107029950246,1024,7,300,4,60,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,1,prev_theta,277821.6806647286,1662.590136767919,0.04767847283692864,4.976621884039348e-05,11499.094409588744,16009a8e8e57e97ad347ecbb0b85e7645d958935e644920cbf04ab7ea65d3651,283d2058d76acd3b843906762254c38c0f949a4a715f30065fa83856aac8d3e1,-1,0,1095.6078069284558,1047.054975060746,2178.1822990160435,1024,7,300,4,60,534b8dd4cd1f7a8a961a81e3c2bc0dae15de144478c91975a44d373f1f0d775e
series_std_f32_p0,1,accepted,217819.5697962979,1628.87676845236,0.034325536644984236,0.00011818480045456291,3616.3338002367245,69d4a268add2937899f574b8945775288ca0c6012ea07ed317c2500f1069c84a,69a00ff6cc4f0fac826409467941cf7ea0a988028746b24255a03b420503ae82,-1,0,1093.1274939794093,1041.7943720240146,2171.331683988683,1024,7,300,4,60,136c8da3d36df3df7bb010996d020b6c5730ff50a1e6614d78f88afc49ae266c
series_std_f32_p0,2,prev_theta,217802.31617835432,1628.8767652397512,0.034509488589956706,0.00011645839385255567,5640.035486873461,15008faadf59008fe0b1b992d02b6d2b3098eb5c94b084e63f7369dd728daefd,e7fb11dc22b3bca6cad539ab74bf1b16521005da544ea153b887220fe0225e65,-1,0,1091.2047919118777,1040.4052379308268,2165.9547459566966,1024,7,300,4,60,136c8da3d36df3df7bb010996d020b6c5730ff50a1e6614d78f88afc49ae266c
series_std_f32_p0,2,accepted,213905.64136302687,1608.6778525194777,0.03382529325718576,2.0116139493239563e-06,2662.1666449440477,6d865ae317ab981031c7d40821050e678f1c5dea9d760989b27b22a6a8369a26,f5dd84723dfe683e77c12e9f6cd426be27ad74d18daf86a737635ae6177a110f,-1,0,1107.953455997631,1044.743561069481,2220.22839600686,1024,7,300,4,60,c09038702d0ca23ee62fab152a6a75690079b31404aed6721c858c2651625974
series_std_f32_p0,3,prev_theta,213875.32819829698,1608.6778495052047,0.03190114199669494,2.0624278738593295e-06,3859.43874133705,f33077eb81ea3df15406fd96842196760e29670d5c0be00a309587b825b0fa9f,3b8d2997bda49c0317ddf4a371fded2ca1cc77ae7bcccedc90c41dbcab3f780e,-1,0,1088.9018409652635,1047.8401540312916,2171.362434979528,1024,7,300,4,60,c09038702d0ca23ee62fab152a6a75690079b31404aed6721c858c2651625974
series_std_f32_p0,3,accepted,212996.91002647544,1607.9405732843898,0.036443256325755055,2.7266830282378993e-06,4077.628489303338,c4c714c75c31c002ad3309c8fad82e094c39ac450e2b5eb4de99a425422f0a3f,a3728b144ae69072ce6b2019713e24f911282c735bf81d1b423b0413d980abc8,-1,0,1091.3794999942183,1052.7894890401512,2192.3919279361144,1024,7,300,4,60,0447a72a278d3dfc50cb89aea4650f841813932867f4f66954be5fada30d1572
series_std_f32_p1,0,initial,477544.05346373207,2912.5316119057534,4.6686696474063094e-08,3.7812971036971224e-08,9145.41834403296,542a9314b4eb07d97f2b79bfbcd2fcacaee3c126b688eafa7fd26d872bdcc83b,9630481ef439b9b0dd18f7363a64a4b79bf1a56fd3b592843a67d8734bebeede,-1,1,1537.853615009226,1320.6286259228364,2911.899578059092,1024,7,300,4,60,020bd156497d059e9ae53f0708d8e5877767869e618ec33a0173cb91f7319ce3
