scene,B,acc_mode,n_dir,dirs,n_proc_repeat,repeat_digest_equal,n_iter,cg_iters,grad_cg,refresh_every,tol,n_calls,rho,rho_mode,res_device_max,res_converged,res_ref_cpu,ref_err_rel_l2_max,ref_err_rel_l2_by_dir,deriv_accepted_1e8,deriv_accepted_1e6,active_set_slip_match,joint_gate_1e8,joint_gate_1e6,cost_graph_ms_median,cost_graph_ms_max,cost_joint_ok_1e6,gpu_util_after_max_pct,digest_first,module_sha256,refs_sha256,status
cube,1,float32,3,0|1|5,1,,200,8,60,4,1e-08,6,0.059287455769646176,sqrt,7.111717645336135e-09,True,9.71445146547012e-16,4.5828117282509613e-07,0:4.250e-07;1:4.583e-07;5:1.190e-07,False,True,True,False,True,51.51191900949925,52.22204595338553,51.51191900949925,12,0a4267ad45a93f4b3baaa57e8261e038b27dabc3c2d13875f77b47d034c7dd56,e985b4ef8e37ce6189c79b38e4f04b2a4863e9c24f8efc11044f208347ff8379,b3050816ea0e9584ea60a0c24ea3f16bd570fd89a720fed2886bfc2c5ebea885,measured
cube,1,float64,3,0|1|5,1,,200,8,60,4,1e-08,6,0.059287455769646176,sqrt,8.773083176594199e-09,True,9.71445146547012e-16,4.2279203869625994e-07,0:1.984e-14;1:4.228e-07;5:1.393e-07,False,True,True,False,True,52.644342998974025,52.899785921908915,52.644342998974025,9,4d4209156b652916c5ceb2bbc75d97491902d9a7b0ad298fb5a96c3866b66edb,e985b4ef8e37ce6189c79b38e4f04b2a4863e9c24f8efc11044f208347ff8379,b3050816ea0e9584ea60a0c24ea3f16bd570fd89a720fed2886bfc2c5ebea885,measured
cube,1,int64,3,0|1|5,3,True,200,8,60,4,1e-08,6,0.059287455769646176,sqrt,8.773064608114112e-09,True,9.71445146547012e-16,4.2279171864805694e-07,0:3.527e-13;1:4.228e-07;5:1.393e-07,False,True,True,False,True,65.92536746757105,68.54737200774252,65.92536746757105,68,14b5816cbb5d3e1081b3d911807f48c4190ff97e2280a6cc7d61c00b1d27d0af,e985b4ef8e37ce6189c79b38e4f04b2a4863e9c24f8efc11044f208347ff8379,b3050816ea0e9584ea60a0c24ea3f16bd570fd89a720fed2886bfc2c5ebea885,measured
cube,256,float32,3,0|1|5,3,False,200,8,60,4,1e-08,6,0.059287455769646176,sqrt,2.1672499628255792e-08,False,9.71445146547012e-16,4.5828117282509613e-07,0:4.250e-07;1:4.583e-07;5:1.190e-07,False,True,True,False,False,66.0920140799135,68.42006999067962,,14,5c0c8a6eb28fd074a70cb662cce24d47397ad4b0303987801ccc73f0e2f96736,e985b4ef8e37ce6189c79b38e4f04b2a4863e9c24f8efc11044f208347ff8379,b3050816ea0e9584ea60a0c24ea3f16bd570fd89a720fed2886bfc2c5ebea885,measured
cube,256,float64,3,0|1|5,1,,200,8,60,4,1e-08,6,0.059287455769646176,sqrt,8.773083218227562e-09,True,9.71445146547012e-16,4.2279203869625994e-07,0:1.984e-14;1:4.228e-07;5:1.393e-07,False,True,True,False,True,64.68389299698174,65.46703993808478,64.68389299698174,8,444a3f172fe470fe04fd8521000f678a49db7412f78d36f7e144f3f57a115f3a,e985b4ef8e37ce6189c79b38e4f04b2a4863e9c24f8efc11044f208347ff8379,b3050816ea0e9584ea60a0c24ea3f16bd570fd89a720fed2886bfc2c5ebea885,measured
cube,256,int64,3,0|1|5,1,,200,8,60,4,1e-08,6,0.059287455769646176,sqrt,8.773064608114112e-09,True,9.71445146547012e-16,4.2279171864805694e-07,0:3.527e-13;1:4.228e-07;5:1.393e-07,False,True,True,False,True,92.42646500933915,93.84194295853376,92.42646500933915,76,2da4be978063811e670ea742b08b069f1838030dabe9b81ec88d23b0b75e1bcc,e985b4ef8e37ce6189c79b38e4f04b2a4863e9c24f8efc11044f208347ff8379,b3050816ea0e9584ea60a0c24ea3f16bd570fd89a720fed2886bfc2c5ebea885,measured
eight_box_tower,1,float32,3,0|1|5,1,,200,8,60,4,1e-08,34,1.5990276298194137,sqrt,1.0421581292405912e-08,False,9.922618282587337e-16,7.945631391396744e-06,0:3.808e-06;1:2.438e-06;5:7.946e-06,False,False,True,False,False,207.55084708798677,208.34138500504196,,99,3d8dd2d5fbc473cd1fdc23b309e154c5c07f21bf156ab8eb5096dd7e544d8820,e985b4ef8e37ce6189c79b38e4f04b2a4863e9c24f8efc11044f208347ff8379,b3050816ea0e9584ea60a0c24ea3f16bd570fd89a720fed2886bfc2c5ebea885,measured
eight_box_tower,1,float64,3,0|1|5,1,,200,8,60,4,1e-08,34,1.5990276298194137,sqrt,9.75152778311809e-09,True,9.922618282587337e-16,1.2067303764507503e-12,0:8.353e-13;1:7.444e-13;5:1.207e-12,True,True,True,True,True,205.69147600326687,206.47785696201026,205.69147600326687,100,7fe49fe3006498f30766d6848d1f8d8fa0b6bf87394f09e2412c3b1e1c720461,e985b4ef8e37ce6189c79b38e4f04b2a4863e9c24f8efc11044f208347ff8379,b3050816ea0e9584ea60a0c24ea3f16bd570fd89a720fed2886bfc2c5ebea885,measured
eight_box_tower,1,int64,3,0|1|5,1,,200,8,60,4,1e-08,34,1.5990276298194137,sqrt,9.500234275012726e-09,True,9.922618282587337e-16,3.001960682112299e-11,0:2.585e-11;1:3.002e-11;5:2.590e-12,True,True,True,True,True,263.47317500039935,263.6200289707631,263.47317500039935,100,63800e05dcf4195031dd34f4e44cdc2a22be1be4e96d937b99d28418abc04d59,e985b4ef8e37ce6189c79b38e4f04b2a4863e9c24f8efc11044f208347ff8379,b3050816ea0e9584ea60a0c24ea3f16bd570fd89a720fed2886bfc2c5ebea885,measured
eight_box_tower,256,float32,3,0|1|5,1,,200,8,60,4,1e-08,34,1.5990276298194137,sqrt,1.463678741818617e-08,False,9.922618282587337e-16,7.951679878240361e-06,0:3.922e-06;1:3.446e-06;5:7.952e-06,False,False,True,False,False,1091.2013769848272,1092.7794079761952,,100,50ea140ee15704462c428af4fff7dbc848f132009a044b74d76548e7de130a6e,e985b4ef8e37ce6189c79b38e4f04b2a4863e9c24f8efc11044f208347ff8379,b3050816ea0e9584ea60a0c24ea3f16bd570fd89a720fed2886bfc2c5ebea885,measured
