tag,cell,frame,dist,nb,Q,n,route,n_exact_boxes,sum_counts_box0,direct_complete_ms,gated_amort_complete_ms,gated_full_complete_ms,celllist_complete_ms,sortedkey_complete_ms,gated_query_only_ms,celllist_query_only_ms,sortedkey_query_only_ms,gated_amort_over_direct,gated_amort_over_celllist,gated_amort_over_sortedkey,best_exact_baseline_over_gated,gain_vs_direct,gain_vs_best_exact_baseline,all_paths_agree
p1,win_new_frame_sparse1024,160,sparse,1024,16,161000,gated,169,59115,129.0436,42.6984,72.9604,16.2669,70.9253,31.7881,12.7187,68.3873,0.3309,2.6249,0.602,0.381,0.6691,0.619,True
p1,win_known_frame_sparse1024,150,sparse,1024,16,151000,gated,190,63581,118.8612,40.4606,68.3628,16.0725,71.277,30.6459,12.6165,66.4617,0.3404,2.5174,0.5677,0.3972,0.6596,0.6028,True
p1,negative_new_geometry_slab1024,160,slab,1024,16,161000,gated,714,1660788,127.8861,121.5229,151.8313,89.8026,728.3221,111.1948,85.2666,718.4857,0.9502,1.3532,0.1669,0.739,0.0498,0.261,True
p2,negative_dense_allnear256,160,allnear,256,16,161000,gated,127,25,35.8379,35.0972,64.9724,7.152,8.1481,24.4949,3.5797,4.3651,0.9793,4.9074,4.3074,0.2038,0.0207,0.7962,True
p2,negative_corner256,160,corner,256,16,161000,gated,105,56,36.0955,30.3527,59.3054,7.1581,8.2481,19.9267,3.4532,4.3203,0.8409,4.2403,3.68,0.2358,0.1591,0.7642,True
p2,small_sparse32,160,sparse,32,16,161000,direct,32,3160,10.1066,18.4197,47.404,10.3855,36.7953,7.706,8.0331,35.7029,1.8226,1.7736,0.5006,0.5638,-0.8226,0.4362,True
p2,small_sparse1,160,sparse,1,16,161000,direct,1,0,10.3926,18.0336,47.6475,6.9455,7.5393,7.9263,3.3237,3.6112,1.7352,2.5965,2.392,0.3851,-0.7352,0.6149,True
q1,win_new_frame_sparse1024,160,sparse,1024,1,161000,gated,169,59115,10.742,13.2045,12.5309,4.9,8.2316,2.0217,0.9567,4.3333,1.2292,2.6948,1.6041,0.3711,-0.2292,0.6289,True
q1,negative_dense_allnear256,160,allnear,256,1,161000,gated,125,1,5.4974,12.1877,12.1462,3.9022,4.1792,1.5742,0.22,0.3769,2.217,3.1232,2.9162,0.3202,-1.217,0.6798,True
q4,win_new_frame_sparse1024,160,sparse,1024,4,161000,gated,169,59115,35.1774,19.3139,24.6312,7.3529,21.9656,8.2088,3.7496,19.6416,0.549,2.6267,0.8793,0.3807,0.451,0.6193,True
q4,negative_dense_allnear256,160,allnear,256,4,161000,gated,125,1,11.2588,16.6707,21.8613,4.6471,4.8507,5.8539,0.8542,1.1416,1.4807,3.5874,3.4368,0.2788,-0.4807,0.7212,True
r1,win_new_frame_sparse1024,160,sparse,1024,16,161000,gated,169,59115,127.535,43.7158,71.8843,15.8596,70.1524,32.1702,11.9812,67.8671,0.3428,2.7564,0.6232,0.3628,0.6572,0.6372,True
r1,negative_dense_allnear256,160,allnear,256,16,161000,gated,125,1,36.0755,35.4987,62.9551,7.0526,8.1298,24.4017,3.3388,4.2975,0.984,5.0334,4.3665,0.1987,0.016,0.8013,True
r1,small_sparse32,160,sparse,32,16,161000,direct,32,3160,9.5088,18.2971,46.0913,10.2037,38.2668,7.0432,8.3244,36.3737,1.9242,1.7932,0.4781,0.5577,-0.9242,0.4423,True
r2,win_new_frame_sparse1024,160,sparse,1024,16,161000,gated,169,59115,130.5667,42.8033,70.7951,15.5925,70.958,31.4799,12.3011,68.6602,0.3278,2.7451,0.6032,0.3643,0.6722,0.6357,True
r2,negative_dense_allnear256,160,allnear,256,16,161000,gated,125,1,35.2024,35.5013,64.9266,7.0417,8.1932,24.1769,3.3192,4.3786,1.0085,5.0416,4.333,0.1983,-0.0085,0.8017,True
r2,small_sparse32,160,sparse,32,16,161000,direct,32,3160,9.6875,17.7064,48.1955,11.1171,37.9993,7.0913,8.4441,36.5345,1.8278,1.5927,0.466,0.6279,-0.8278,0.3721,True
