claim_id,manuscript_section,claim,value,unit,status,source_artifact,command,scope_limit
claim-001,Abstract,reuse of the solver grid loses to the best exact accelerator on every tested cell,t_gate_over_best>1,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_run_a.json + matched_cost_run_b.json,python scripts/regenerate_tables.py --table matched,shared GPU; same-run ratio
claim-002,Abstract,T1 new sparse 1024 boxes t_gate_over_best,2.6248625,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_run_a.json,python scripts/regenerate_tables.py --table matched,run a; Q=16
claim-003,Abstract,T1 best exact / grid over all cells,0.20-0.74,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_run_a.json + matched_cost_run_b.json,python scripts/regenerate_tables.py --table matched,1/(t_gate_over_best); min on dense allnear (0.196); max on slab (0.739)
claim-004,Table 1,T1 known sparse 1024 t_gate_over_best,2.51737297,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_run_a.json,python scripts/regenerate_tables.py --table matched,run a; Q=16
claim-005,Table 1,T1 slab 1024 t_gate_over_best,1.35322258,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_run_a.json,python scripts/regenerate_tables.py --table matched,run a; Q=16
claim-006,Table 1,T1 dense allnear 256 t_gate_over_best,4.90736372,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_run_b.json,python scripts/regenerate_tables.py --table matched,run b; Q=16
claim-007,Table 1,T1 corner 256 t_gate_over_best,4.24030908,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_run_b.json,python scripts/regenerate_tables.py --table matched,run b; Q=16
claim-008,Table 1,T1 sparse 32 t_gate_over_best,1.77359352,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_run_b.json,python scripts/regenerate_tables.py --table matched,run b; Q=16
claim-009,Table 1,T1 sparse 1 t_gate_over_best,2.59645021,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_run_b.json,python scripts/regenerate_tables.py --table matched,run b; Q=16
claim-010,Table 1,T1 new sparse 1024 t_gate_over_direct,0.330883514,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_run_a.json,python scripts/regenerate_tables.py --table matched,run a; direct unindexed denominator
claim-011,Table 1,T1 slab 1024 t_gate_over_direct,0.950243023,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_run_a.json,python scripts/regenerate_tables.py --table matched,run a
claim-012,Table 1,T1 sparse 32 t_gate_over_direct,1.82255297,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_run_b.json,python scripts/regenerate_tables.py --table matched,run b
claim-013,Table 2,Q sweep new sparse 1024 Q=1 t_gate_over_best,2.69479453,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_query1.json,python scripts/regenerate_tables.py --table query_sweep,run query1
claim-014,Table 2,Q sweep dense allnear 256 Q=1 t_gate_over_best,3.12324426,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_query1.json,python scripts/regenerate_tables.py --table query_sweep,run query1
claim-015,Table 2,query-only gate/cell sparse 1024 Q=16,2.49931362,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_run_a.json,python scripts/regenerate_tables.py --table query_sweep,run a
claim-016,Table 3,audit sparse 1024 run a t_gate_over_best,2.62435735,dimensionless,audit_reproduced,data/measurements/audit_independent_cost_run_a.json,python scripts/regenerate_tables.py --table audit_reproduction,independent harness; label win_sparse1024
claim-017,Table 3,audit sparse 1024 run b t_gate_over_best,2.65503597,dimensionless,audit_reproduced,data/measurements/audit_independent_cost_run_b.json,python scripts/regenerate_tables.py --table audit_reproduction,independent harness; label win_sparse1024
claim-018,Table 3,audit dense allnear 256 run a t_gate_over_best,5.11587166,dimensionless,audit_reproduced,data/measurements/audit_independent_cost_run_a.json,python scripts/regenerate_tables.py --table audit_reproduction,independent harness
claim-019,Table 3,audit sparse 1 run a t_gate_over_best,2.51791018,dimensionless,audit_reproduced,data/measurements/audit_independent_cost_run_a.json,python scripts/regenerate_tables.py --table audit_reproduction,independent harness
claim-020,Section 6,producer complete gain vs direct new sparse 1024,0.647317538,dimensionless,producer_measured,data/measurements/producer_complete_cost_run_a.json,python scripts/regenerate_tables.py --table producer_cost,shared GPU; vs unindexed direct kernel
claim-021,Section 6,producer complete gain vs direct known sparse 1024,0.646261323,dimensionless,producer_measured,data/measurements/producer_complete_cost_run_a.json,python scripts/regenerate_tables.py --table producer_cost,shared GPU
claim-022,Section 6,producer worst amort_over_direct,1.755905823,dimensionless,producer_measured,data/measurements/producer_complete_cost_run_a.json,python scripts/regenerate_tables.py --table producer_cost,shared GPU
claim-023,Section 6,producer worst full_over_direct,4.671878833,dimensionless,producer_measured,data/measurements/producer_complete_cost_run_a.json,python scripts/regenerate_tables.py --table producer_cost,shared GPU
claim-024,Section 6,producer complete gains vs direct across all eight cells (five positive wins: sparse1024-new/sparse1024-known/slab/dense-allnear/corner; three losses: known-dense/sparse32/sparse1),0.647317538 / 0.646261323 / 0.055320365 / 0.028982924 / 0.178725559 / -0.083624471 / -0.755905823 / -0.753702158,dimensionless,producer_measured,data/measurements/producer_complete_cost_run_a.json,python scripts/regenerate_tables.py --table producer_cost,shared GPU; sign complete_gain_amort = 1 - amort/direct so positive = grid faster than direct; run a
claim-025,Section 6,stage medians frame 160 (state copy/P2G/capture-particles/capture-grid/bind/occupancy/gated query/direct query),0.067359 / 0.234239 / 5.067496 / 5.667783 / 1.744540 / 0.051400 / 2.127046 / 7.126713,ms,producer_measured,data/measurements/producer_complete_cost_run_a.json,python scripts/regenerate_tables.py --table producer_cost,shared GPU; paired 5-repeat median
claim-026,Section 8,flagged fraction new sparse 169/1024,0.165,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_run_a.json,python scripts/regenerate_tables.py --table matched,run a
claim-027,Section 8,flagged fraction slab 714/1024,0.697,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_run_a.json,python scripts/regenerate_tables.py --table matched,run a
claim-028,Section 8,flagged fraction dense allnear 127/256,0.496,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_run_b.json,python scripts/regenerate_tables.py --table matched,run b
claim-029,Section 8,flagged fraction corner 105/256,0.410,dimensionless,frozen_raw_recompute,data/measurements/matched_cost_run_b.json,python scripts/regenerate_tables.py --table matched,run b
claim-030,Section 5,producer correctness: 99 held-out batches 0 gate-FN 0 mismatch,99 / 0 / 0,count,producer_measured,data/measurements/correctness_and_controls_run_a.json,python scripts/regenerate_tables.py --table correctness_summary,shared GPU; measured not a theorem
claim-031,Section 5,this study correctness: 16 cases x 6 paths all agree,16,count,frozen_raw_recompute,data/measurements/correctness_matrix.json,python scripts/regenerate_tables.py --table correctness_summary,property record (stable-seed replay)
claim-032,Section 5,audit new-state cases pass,10,count,audit_reproduced,data/measurements/audit_new_state_cases.json,python scripts/regenerate_tables.py --table correctness_summary,three independent oracles
claim-033,Section 5,audit oracle crosscheck 74 boxes per state,74,count,audit_reproduced,data/measurements/audit_oracle_crosscheck.json,python scripts/regenerate_tables.py --table correctness_summary,zero-size and boundary boxes included
claim-034,Section 5,gate stress: 0.9dx gated; 1.0/1.05dx stale future fall back exact,route=gated/direct,label,frozen_raw_recompute,data/measurements/audit_gate_stress.json,python scripts/regenerate_tables.py --table gate_stress,shared GPU
claim-035,Section 9,mass-grid threshold theta=0.5 false negatives 13/20 and 170/300,13 / 170,count,frozen_raw_recompute,data/prose_controls/threshold_matched_summary.json + data/prose_controls/threshold_fuzz_summary.json,python scripts/verify_prose_controls.py,D3 vs D1; theta=0.05/0.25 rows are a constructed feed; raw recomputed from bundled frozen summaries
claim-036,Section 9,particle-fed occupancy rebuild median 84.66 vs hull 4.85,84.66 / 4.85,ms,archived_reported,data/prose_controls/archived_reported_values.json + data/prose_controls/incremental_paired_ratio.json,python scripts/verify_prose_controls.py,CPU; different scene sizes; original per-update timing raw not retained - carried reported values - not replayable raw
claim-037,Section 9,forgery paths produced 44 and 1 gate false negatives,44 / 1,count,producer_measured,data/measurements/correctness_and_controls_run_a.json,python scripts/regenerate_tables.py --table correctness_summary,earlier revision; repaired contract closes documented paths
claim-038,Section 10,stored gain_vs_best_exact_baseline sign-inconsistent; not quoted,,,audit_reproduced,data/measurements/audit_reconcile.json,python scripts/regenerate_tables.py --table correctness_summary,explicit t_gate_over_best used instead
claim-039,Section 11,field-versus-hull motivating claim withdrawn (no producer),,,withdrawn,frozen report (outside this package),not computed,NEEDS_EVIDENCE; no producer; outside this study
claim-040,Section 5,mass-grid empty columns at theta=0.5 on a real 96^3 grid,239 / 8458,count,frozen_raw_recompute,data/prose_controls/massgrid_column_edges.json,python scripts/verify_prose_controls.py,columns_grid_empty_at_half / columns_with_particles
claim-041,Section 5,empty-column frames in the saved-grid sweep,150,count,frozen_raw_recompute,data/prose_controls/massgrid_column_edges.json,python scripts/verify_prose_controls.py,columns_particles_but_half_grid_empty over 50 saved grids
claim-042,Section 5,p95 surface error at most one cell is not a keep-out guarantee,23,count,frozen_raw_recompute,data/prose_controls/massgrid_column_edges.json,python scripts/verify_prose_controls.py,theta=0.5 columns over one cell of 75900 in domain
claim-043,Section 9,exact incremental full flow first pass median,66.52,ms,archived_reported,data/prose_controls/archived_reported_values.json,python scripts/verify_prose_controls.py,first-pass raw overwritten; retained frame-cost raw is a later reproduce pass (median 70.26 ms)
claim-044,Section 9,incremental variant median scaled to the carried reference rebuild,35.32,ms,frozen_raw_recompute,data/prose_controls/incremental_paired_ratio.json,python scripts/verify_prose_controls.py,paired ratio median 0.417 times carried 84.66 ms rebuild
claim-045,Section 9,exact incremental flow fraction of frames within 10 ms,0.035,dimensionless,frozen_raw_recompute,data/prose_controls/incremental_frame_costs.json,python scripts/verify_prose_controls.py,199 frames; later reproduce pass
