run,label,frame,dist,nb,Q,n,route,n_flagged,t_gate_s,t_celllist_s,t_sortedkey_s,t_best_s,best_kind,t_gate_over_best,t_gate_over_direct,best_over_direct,t_gate_query_only_s,t_gate_query_only_over_best_query_only,device,time_boundary
a,negative_new_geometry_slab1024,160,slab,1024,16,161000,gated,714,0.121522899,0.089802595,0.728322063,0.089802595,cell_list,1.35322258,0.950243023,0.702207486,0.111194806,1.30408331,shared GPU,paired 5-repeat median
a,win_known_frame_sparse1024,150,sparse,1024,16,151000,gated,190,0.04046057,0.0160725369,0.0712770399,0.0160725369,cell_list,2.51737297,0.340401721,0.135221012,0.030645938,2.42903431,shared GPU,paired 5-repeat median
a,win_new_frame_sparse1024,160,sparse,1024,16,161000,gated,169,0.0426984021,0.01626691,0.070925251,0.01626691,cell_list,2.6248625,0.330883514,0.126057465,0.031788145,2.49931362,shared GPU,paired 5-repeat median
b,negative_corner256,160,corner,256,16,161000,gated,105,0.0303527219,0.00715813902,0.00824811694,0.00715813902,cell_list,4.24030908,0.840899721,0.19831095,0.01992666,5.7705363,shared GPU,paired 5-repeat median
b,negative_dense_allnear256,160,allnear,256,16,161000,gated,127,0.0350972201,0.00715195003,0.00814807799,0.00715195003,cell_list,4.90736372,0.979331294,0.199563625,0.024494856,6.8427482,shared GPU,paired 5-repeat median
b,small_sparse1,160,sparse,1,16,161000,direct,1,0.01803358,0.006945475,0.00753925298,0.006945475,cell_list,2.59645021,1.73523642,0.668311072,0.00792632194,2.3848144,shared GPU,paired 5-repeat median
b,small_sparse32,160,sparse,32,16,161000,direct,32,0.018419732,0.0103855431,0.036795291,0.0103855431,cell_list,1.77359352,1.82255297,1.02760466,0.00770600489,0.959277283,shared GPU,paired 5-repeat median
query1,negative_dense_allnear256,160,allnear,256,1,161000,gated,125,0.0121876551,0.00390224205,0.00417924009,0.00390224205,cell_list,3.12324426,2.2169805,0.709832571,0.00157422305,7.15439179,shared GPU,paired 5-repeat median
query1,win_new_frame_sparse1024,160,sparse,1024,1,161000,gated,169,0.013204477,0.004899994,0.00823162706,0.004899994,cell_list,2.69479453,1.22923296,0.456150903,0.00202165102,2.11318577,shared GPU,paired 5-repeat median
query4,negative_dense_allnear256,160,allnear,256,4,161000,gated,125,0.0166706661,0.00464706507,0.00485066499,0.00464706507,cell_list,3.5873537,1.48068376,0.412750983,0.00585389708,6.85304291,shared GPU,paired 5-repeat median
query4,win_new_frame_sparse1024,160,sparse,1024,4,161000,gated,169,0.0193139131,0.00735291198,0.021965581,0.00735291198,cell_list,2.62670261,0.54904355,0.209023872,0.00820875401,2.18923749,shared GPU,paired 5-repeat median
repeat_a,negative_dense_allnear256,160,allnear,256,16,161000,gated,125,0.03549871,0.00705260597,0.00812983606,0.00705260597,cell_list,5.03341745,0.984011477,0.195495702,0.024401682,7.30852081,shared GPU,paired 5-repeat median
repeat_a,small_sparse32,160,sparse,32,16,161000,direct,32,0.0182970579,0.010203682,0.0382668161,0.010203682,cell_list,1.79318191,1.92422124,1.07307643,0.00704322697,0.84609751,shared GPU,paired 5-repeat median
repeat_a,win_new_frame_sparse1024,160,sparse,1024,16,161000,gated,169,0.0437158169,0.0158595829,0.070152445,0.0158595829,cell_list,2.75642916,0.342774966,0.124354716,0.032170246,2.68507072,shared GPU,paired 5-repeat median
repeat_b,negative_dense_allnear256,160,allnear,256,16,161000,gated,125,0.035501268,0.00704166503,0.00819316297,0.00704166503,cell_list,5.04160136,1.00849136,0.200033936,0.024176873,7.28390417,shared GPU,paired 5-repeat median
repeat_b,small_sparse32,160,sparse,32,16,161000,direct,32,0.017706449,0.011117055,0.037999304,0.011117055,cell_list,1.59272839,1.82776796,1.1475704,0.007091259,0.839788907,shared GPU,paired 5-repeat median
repeat_b,win_new_frame_sparse1024,160,sparse,1024,16,161000,gated,169,0.0428033429,0.0155925221,0.070957953,0.0155925221,cell_list,2.74511991,0.327827461,0.119421909,0.031479875,2.55910723,shared GPU,paired 5-repeat median
