scene,direction_deg,static_lp_m_s2,reached_low_m_s2,reached_high_m_s2
A,0,5.815935209864076,5.7321,5.7332
A,30,5.813391332436459,5.6914,5.6925
A,60,4.400472430509166,4.1503,4.1514
A,90,3.409919133929526,3.2406,3.2417
A,120,3.562566607405849,3.3572,3.3583
A,150,5.183535412107499,4.8059,4.807
A,180,5.815935209864071,5.7816,5.7827
A,210,5.813391332436458,5.6914,5.6925
A,240,4.400472430509179,4.0997,4.1008
A,270,3.4099191339295207,3.1922,3.1933
A,300,3.5625666074058495,3.3396,3.3407
A,330,5.183535412107474,4.8114,4.8125
B,0,5.233668451764025,5.127,5.128
B,30,4.696119279133254,4.724,4.725
B,60,3.6056411969280666,3.682,3.683
B,90,3.442051770339426,3.538,3.539
B,120,4.140356921418087,4.194,4.195
B,150,5.202043489438112,5.046,5.047
B,180,5.2336684517640215,5.144,5.145
B,210,4.696119279133255,4.689,4.69
B,240,3.6056411969280657,3.701,3.702
B,270,3.442051770339422,3.539,3.54
B,300,4.140356921418089,4.257,4.258
B,330,5.20204348943811,5.083,5.084
