x_m,y_m,static_radius_m_s2,status
-0.2,-0.2,0.7561791475380323,feasible
-0.18,-0.2,0.783314792837422,feasible
-0.16,-0.2,0.8118057654599208,feasible
-0.14,-0.2,0.8417562066914279,feasible
-0.12,-0.2,0.8732812076850575,feasible
-0.1,-0.2,0.9065082874577881,feasible
-0.08,-0.2,0.9172237718959891,feasible
-0.06,-0.2,0.9268872181856797,feasible
-0.04,-0.2,0.9365506644753713,feasible
-0.02,-0.2,0.9462141107650621,feasible
0.0,-0.2,0.9558775570547542,feasible
0.02,-0.2,1.033172639484324,feasible
0.04,-0.2,1.0459439323493775,feasible
0.06,-0.2,1.0362804860596837,feasible
0.08,-0.2,1.0266170397699925,feasible
0.1,-0.2,1.0157747473524779,feasible
0.12,-0.2,0.9796754799920663,feasible
0.14,-0.2,0.945425421088631,feasible
0.16,-0.2,0.9128860287323503,feasible
0.18,-0.2,0.8819322631563833,feasible
0.2,-0.2,0.8524509809805096,feasible
-0.2,-0.18,0.7412448599570521,feasible
-0.18,-0.18,0.7691962087289645,feasible
-0.16,-0.18,0.7986067430956258,feasible
-0.14,-0.18,0.8295937895771269,feasible
-0.12,-0.18,0.8622875993587037,feasible
-0.1,-0.18,0.8968331784151067,feasible
-0.08,-0.18,0.9150149841726318,feasible
-0.06,-0.18,0.9252306273931625,feasible
-0.04,-0.18,0.9354462706136935,feasible
-0.02,-0.18,0.94566191383423,feasible
0.0,-0.18,0.9558775570547539,feasible
0.02,-0.18,1.0375895013374308,feasible
0.04,-0.18,1.0448395384876958,feasible
0.06,-0.18,1.0346238952671656,feasible
0.08,-0.18,1.024408252046634,feasible
0.1,-0.18,1.0052633105827866,feasible
0.12,-0.18,0.9677315713205109,feasible
0.14,-0.18,0.9322116704321911,feasible
0.16,-0.18,0.8985460674572352,feasible
0.18,-0.18,0.8665932521458485,feasible
0.2,-0.18,0.836225756136468,feasible
-0.2,-0.16,0.7249695809938179,feasible
-0.18,-0.16,0.7537761418660172,feasible
-0.16,-0.16,0.7841577424164358,feasible
-0.14,-0.16,0.8162471896521423,feasible
-0.12,-0.16,0.8501926533875821,feasible
-0.1,-0.16,0.8861599538171325,feasible
-0.08,-0.16,0.9125384646040183,feasible
-0.06,-0.16,0.9233732377167018,feasible
-0.04,-0.16,0.9342080108293861,feasible
-0.02,-0.16,0.9450427839420582,feasible
0.0,-0.16,0.9558775570547523,feasible
0.02,-0.16,1.0425417403848751,feasible
0.04,-0.16,1.0436012787033893,feasible
0.06,-0.16,1.0327665055907052,feasible
0.08,-0.16,1.0219317324780213,feasible
0.1,-0.16,0.9936674799832956,feasible
0.12,-0.16,0.9545911240916717,feasible
0.14,-0.16,0.917711374819695,feasible
0.16,-0.16,0.8828480782816299,feasible
0.18,-0.16,0.8498402566912863,feasible
0.2,-0.16,0.8185436230487142,feasible
-0.2,-0.14,0.7071642033722814,feasible
-0.18,-0.14,0.736865936493459,feasible
-0.16,-0.14,0.7682723738492168,feasible
-0.14,-0.14,0.8015346113951706,feasible
-0.12,-0.14,0.8368221451761207,feasible
-0.1,-0.14,0.8743257601717922,feasible
-0.08,-0.14,0.909742394123325,feasible
-0.06,-0.14,0.9212761848562191,feasible
-0.04,-0.14,0.9328099755890422,feasible
-0.02,-0.14,0.9443437663218963,feasible
0.0,-0.14,0.9558775570547533,feasible
0.02,-0.14,1.0481329780190782,feasible
0.04,-0.14,1.0422032434630428,feasible
0.06,-0.14,1.030669452730186,feasible
0.08,-0.14,1.0191356619973286,feasible
0.1,-0.14,0.9808103248157548,feasible
0.12,-0.14,0.9400648535324915,feasible
0.14,-0.14,0.9017270241125973,feasible
0.16,-0.14,0.8655895598999802,feasible
